startupID,startupName,ICBindustry,ICBsector,accelaratorResult,accelerator,accleratorDate,businessModel,,description,equityValuation,foundedDate,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,dealInvestmentAmount,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,startupClassification,stageClassification,startupStatus,state,city,founderName,website,Lat,Lon,Old value
YNOS0366,CARTHERO TECHNOLOGIES,Industrials,Industrial goods and services,,,,B2B,,"They operates a B2B platform that enables businesses to deliver goods to their customers. It also offers a mobile application to order goods. It serves businesses across food and beverage, laundry, grocery, E-commerce, etc.",[171.2871285],2015-01-01,"['Business Support Services', 'Customer service for business', 'Delivery services and logistics']",,,,['Seed'],['ADIT PAREKH'],['Angel'],['Logistics service for business'],['https://in.linkedin.com/in/aditparekh'],[''],[Timestamp('2015-04-27 00:00:00')],[50.03893641],,,,VCC,"['Industrial and Business Products and Services', 'Hyperlocal and Logistics']",['Seed'],Angel investment,Karnataka,Bengaluru,"['Arpit Dave', 'Mohit Kumar']",https://runnr.in,13.094454,77.586014,Bengaluru
YNOS0367,CARTISAN,Consumer Services,Retail,,,,B2B2C,,"Cartisan helps car owners find the nearest, best value and quality car service providers and easily make bookings from car washes to regular maintenance and more.",[''],,['Booking'],,,,['Seed Funding'],['APRAMEYA RADHAKRISHNA'],['Angel'],['Booking - car service'],[''],[''],[Timestamp('2015-07-30 00:00:00')],[''],,,,TrakIn,['Internet marketplace and e-commerce'],[''],Angel investment,Karnataka,Bengaluru,"['Rajat Patni', 'Venkat Sreeram', 'Sharath Murthy']",,13.094454,77.586014,Bengaluru
YNOS0368,CARTRADE.COM,,,,,,,,,[''],,[],,,,['Private Equity'],['CHIP PERRY'],['Angel'],[],['http://www.indiainfoline.com/article/news-top-story/cartrade-com-finds-an-investor-in-chip-perry-1150210000161.html'],[''],[Timestamp('2015-02-10 00:00:00')],[''],,,,TrakIn,[],[''],,,,[],,,,
YNOS0369,CARVENICHE TECHNOLOGIES,Technology,Software & Computer Services,,,,B2C,,CarveNiche is an education technology company that offers products and services for K-12 education.,,2010-01-01,['Educational products and Services'],,,,,['LEAD ANGELS'],,['Educational products and services'],,,"[Timestamp('2015-04-01 00:00:00'), '', '']","['', '', '']","['', '', '']","['Angel forums', '', '']","['', '', '']",VI,['Edu-Tech'],,Angel investment,Karnataka,Bengaluru,"['AVNEET MAKKAR', 'SARASWATHY A']",http://carveniche.com/,13.094454,77.586014,Bengaluru
YNOS0371,CASA2 STAYS,,,,,,,,,"[7.698297909, '']",2012-01-01,[],,,,"['Seed', 'Series A']","['ANUPAM GOPAL MITTAL', 'MOHANDAS PAI']","['Angel', 'Angel']",[],"['', '']","['', '']","[Timestamp('2015-05-31 00:00:00'), Timestamp('2016-01-29 00:00:00')]","['', 537.8056128]",,,,VCC,[],"['', 'Series B']",,,,[],http://www.casa2inns.com,,,
YNOS0375,CATAPOOOLT,Consumer Services,Media,,,,B2C,,Catapooolt is India's first industry-backed and most rewarding crowd-engagement platform for movies music and performing arts.,,2012-01-01,['Movies and video'],,,,,[''],,['Crowd engagement platform for movies'],,,"[Timestamp('2014-04-01 00:00:00'), '', '']","['', '', '']","['', '', '']","['Venture Capital', '', '']","['', '', '']",VI,['Media Advertising and Gaming'],,VC Funded,Maharashtra,Mumbai,[],,19.180874,72.857452,Mumbai
YNOS0376,CATBUS INFOLABS,Consumer Services,Retail,,,,B2C,,Catbus Infolabs Pvt Ltd provides logistics services. The Company offers on-demand logistics services.,[''],2014-01-01,['Delivery services and logistics'],,,,['Seed'],['TIM DRAPER'],['Angel'],['Logistics services'],[''],[''],[Timestamp('2014-11-13 00:00:00')],[''],,,,Deal Curry,['Hyperlocal and Logistics'],[''],Angel investment,Karnataka,Bengaluru,[],,13.094454,77.586014,Bengaluru
YNOS0379,CBREX,Industrials,Industrial goods and services,,,,B2B,,"CBREX is a technology platform that helps recruitment firms across countries collaborate and earn. It allows its users to post jobs, exchange messages, send resumes, close positions, and receive payments.","['', '', '']",,"['Industrial Internet of Things', 'Professional services']",,,,"['Seed Funding', 'Seed Funding', 'Seed Funding']","['PRAHLAD RAO', 'SUNDARA RAJAN', 'VIKRAM CHACHRA']","['Angel', 'Angel', 'Angel']",['Collaborating recruiting firms'],"['', '', '']","[4.276832172, 4.276832172, 4.276832172]","[Timestamp('2015-12-18 00:00:00'), Timestamp('2015-12-18 00:00:00'), Timestamp('2015-12-18 00:00:00')]","[12.83049651, 12.83049651, 12.83049651]",,,,TrakIn,"['Technology', 'Industrial and Business Products and Services']","['Pre-Seed', 'Pre-Seed', 'Pre-Seed']",Angel investment,Maharashtra,Mumbai,"['Gautam Sinha', 'Ananad Karunjay', 'Sanjeev Punwani']",http://www.cbr.exchange/,19.180874,72.857452,Mumbai
YNOS0383,CENTERAC EMARKET PLACES,Industrials,Industrial goods and services,,,,B2B,,"Operates a B2B auction platform that facilitates buying and selling excess goods in the textile industry. It offers XSTOK, a marketplace that enables buyers and sellers to buy and sell hard-to-sell and slow moving stocks of apparels, home textiles, fabrics, and yarns.","['', '', '']",2015-01-01,['Buy and Sale goods and products'],,,,"['Seed', 'Seed', 'Seed']","['ANUPAM GOPAL MITTAL', 'MANISH MAHENDRA CHOKSI', 'VINEET SUCHANTI']","['Angel', 'Angel', 'Angel']",['Auction platform for buying and selling goods'],"['', '', '']","['', '', '']","[Timestamp('2015-09-17 00:00:00'), Timestamp('2015-09-17 00:00:00'), Timestamp('2015-09-17 00:00:00')]","[28.86861716, 28.86861716, 28.86861716]",,,,VCC,['Internet marketplace and e-commerce'],"['Pre-Seed', 'Pre-Seed', 'Pre-Seed']",Angel investment,Maharashtra,Mumbai,"['Sanjiv Jagdish Khandelwal', 'Mihir Shah']",http://www.xstok.com,19.180874,72.857452,Mumbai
YNOS0384,CERANA BEVERAGES,,,,,,,,,[57.97616888],2008-01-01,[],,,,['Seed'],['APURVA SALARPURIA'],['Angel'],[],[''],[1.830826386],[Timestamp('2014-03-31 00:00:00')],[1.830826386],,,,VCC,[],['Pre-Seed'],,,,[],http://www.bira91.com,,,
YNOS0386,CEREBRAHM INNOVATIONS,Healthcare,Healthcare,,,,B2C,,Women and baby care mobile solution which helps parents to keep a track on their health and their child’s health,,2016-01-01,['Healthcare Analytics and Software'],,,,,[''],,['Women and baby care mobile solution'],"['', '']",,"[Timestamp('2016-02-21 00:00:00'), Timestamp('2016-02-21 00:00:00')]","[67.2257016, 67.2257016]",,,,VCC,['Health-Tech'],"['Seed', 'Seed']",Angel investment,Karnataka,Bengaluru,['Shubashini Subramaniam'],http://www.babyberry.in,13.094454,77.586014,Bengaluru
YNOS0388,CHAAYOS,Consumer Goods,Food and beverage,,,,B2C,,It is a a contemporary interpretation of the chai adda.,,,['Food Products'],,,,,"['ZISHAAN HAYATH,POWAI LAKE VENTURES']",,['Coffee and beverages'],,,"[Timestamp('2014-07-01 00:00:00'), '', '']","[2.0, '', '']","['', '', '']","['Venture capital', '', '']","['', '', '']",VI,['Consumer Products and Services'],,VC Funded,Haryana,Gurgaon,['NITIN SALUJA'],http://www.chaayos.com/,28.457523,77.026344,Gurgaon
YNOS0389,CHAI POINT,Consumer Goods,Food and beverage,,,,B2C,,Chai Point is a F&B retail brand whose purpose is to serve the working Indian a great glass of Chai.,,2010-01-01,['Food Products'],,,,,"['DEEPAK SHAHDADPURI,OTHERS']",,['Coffee and beverages'],,,"[Timestamp('2015-01-01 00:00:00'), '', '']","[64.39, '', '']","[2.0, '', '']","['Angel investors', '', '']","['', '', '']",VI,['Consumer Products and Services'],,Angel investment,Karnataka,Bengaluru,['AMULEEK SINGH BIJRAL'],http://chaipoint.com/,13.094454,77.586014,Bengaluru
YNOS0391,CHALK FARM VENTURES,Technology,Software & Computer Services,,,,B2C,,Chalk Farm Ventures Private Limited operates a technology platform that facilitates EMI payment option for products purchased online or offline with partner merchants.,"[289.9692212, 289.9692212, 289.9692212]",2015-01-01,['Payments and Wallet'],,,,"['Seed', 'Seed', 'Seed']","['AMIT BHATIANI', 'ANURADHA DUGGAL', 'SHIVASHISH CHATTERJEE']","['Angel', 'Angel', 'Angel']",['Platform for making payments in EMI'],"['https://in.linkedin.com/in/amit-bhatiani-8112a6', 'https://www.linkedin.com/in/anu-duggal-568222', '']","['', '', '']","[Timestamp('2015-08-26 00:00:00'), Timestamp('2015-08-26 00:00:00'), Timestamp('2015-08-26 00:00:00')]","[107.13464590000001, 107.13464590000001, 107.13464590000001]",,,,VCC,['Fin-Tech and Payments'],"['Seed', 'Seed', 'Seed']",Angel investment,Karnataka,Bengaluru,[],http://zestmoney.in,13.094454,77.586014,Bengaluru
YNOS0394,CHALOGE KYA,Consumer Services,Retail,,,,B2C,,Chaloge Kya is a click-a-rick mobile app through which you could search and call nearby auto rickshaws for a pick up at your place.,,,['Automobiles & Auto Parts services'],,,,,['RAJASTHAN ANGEL INVESTOR NETWORK (RAIN)'],,['Automobile Service'],,,"[Timestamp('2014-11-01 00:00:00'), '', '']","['', '', '']","['', '', '']","['Angel forums', '', '']","['', '', '']",VI,['Consumer Products and Services'],,Angel investment,Rajasthan,Jaipur,[],,26.87063,75.693398,Jaipur
YNOS0397,CHANNELYST ADVISORY SERVICES,,,,,,,,,[''],2013-01-01,[],,,,[''],['SANJAY ANANDARAM'],['Angel'],[],[''],[''],[Timestamp('2015-01-30 00:00:00')],[''],,,,VCC,[],[''],,Karnataka,Bengaluru,['ANTERPREET SINGH'],http://www.channelyst.in,13.094454,77.586014,Bengaluru
YNOS0399,CHARCOAL BIRYANI RESTAURANTS,Consumer Goods,Food and beverage,,,,B2C,,"Start-up that delivers food on ordering through their app, website and call center","['', '']",2015-01-01,['Food Services'],,,,"['Seed', 'Seed']","['DEVENDRA RANE', 'VARUN DUA']","['Angel', 'Angel']","['Food processing', 'Food delivery']","['http://techcircle.vccircle.com/tag/devendra-rane/', '']","['', '']","[Timestamp('2016-02-21 00:00:00'), Timestamp('2016-02-21 00:00:00')]","[10.08385524, 10.08385524]",,,,VCC,"['Consumer Products and Services', 'Hyperlocal and Logistics']","['Pre-Seed', 'Pre-Seed']",Angel investment,Maharashtra,Mumbai,"['Mohammed Bhol', 'Krishnakanth Thakur', 'Anuraj Mehrotra']",https://charcoalbiryani.com,19.180874,72.857452,Mumbai
YNOS0402,CHATONGO,Industrials,Industrial goods and services,,,,B2B,,ChatOnGo is a hyper local platform bringing vendors closer to their customers. It helps vendors to showcase their products offers deals location etc. to their buyers,,2016-01-01,['Customer service for business'],,,,,"['JANAK JAIN,OTHERS']",,['Connects vendors and buyers'],,,"[Timestamp('2016-10-01 00:00:00'), '', '']","[1.92, '', '']","[2.0, '', '']","['Angel investors', '', '']","['', '', '']",VI,['Industrial and Business Products and Services'],,Angel investment,Maharashtra,Mumbai,"['RAHUL JAIN', 'PRIYANK RANKA', 'SAGAR NAGDA']",http://chatongo.com/,19.180874,72.857452,Mumbai
YNOS0405,CHEFHOST.KITCHEN,Technology,Software & Computer Services,,,,B2B,,ChefHost is an online peer-to-peer marketplace and community matching chef's expertise and availability with host's interest and requirements.,[''],2014-01-01,"['Marketplace', 'Connect to Professionals']",,,,['Seed'],['SURESH SELVARAJ'],['Angel'],['Social media platform for the culinary world.'],[''],[''],[Timestamp('2014-06-30 00:00:00')],[''],,,,VCC,"['Internet marketplace and e-Commerce', 'Social Platforms']",[''],Angel investment,Tamil Nadu,Chennai,"['Yiu Yin Yau', 'Abhi Nandhan Bala Subramanian']",https://chefhost.kitchen,12.981241,80.20945,Chennai
YNOS0406,CHEFS BASKET,,,,,,,,,[''],,[],,,,['Private Equity'],['HARESH CHAWLA'],['Angel'],[],['http://www.foundingfuel.com/contributor/haresh-chawla/'],[''],[Timestamp('2015-11-10 00:00:00')],[384.9148954],,,,TrakIn,[],['Series B'],,Maharashtra,Mumbai,[],http://www.chefsbasket.in/,19.180874,72.857452,Mumbai
YNOS0412,CHLOROPLAST FOODS INC.,Consumer Goods,Food and beverage,,,,B2C,,"Start-up provides nutritious snacking options. They offers choco chillers, flapjack fairies, sweety retreats, fruits and nuts extravaganza, fruits fosterage, scintillating savouries, and sassy seeds. It offers Snack Experts, a subscription based snack delivery platform.","['', '', '', '']",2014-01-01,['Food Products'],,,,"['Seed', 'Seed', 'Seed', 'Seed']","['AJEET SINGH BALWANT SINGH KHURANA', 'RAVI GURURAJ', 'TAHA NABEE', 'V C KARTHIK']","['Angel', 'Angel', 'Angel', 'Angel']","['Snack Manufacturers', 'Snack delivery']","['', '', '', '']","['', '', '', '']","[Timestamp('2015-02-01 00:00:00'), Timestamp('2015-02-01 00:00:00'), Timestamp('2015-02-01 00:00:00'), Timestamp('2015-02-01 00:00:00')]","[1.283049651, 1.283049651, 1.283049651, 1.283049651]",,,,VCC,['Consumer Products and Services'],"['Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed']",Angel investment,Tamil Nadu,Chennai,['Arul Muugan'],http://www.snackexperts.com,12.981241,80.20945,Chennai
YNOS0414,CHRONOSPHERE TECHNOLOGIES,Technology,Software & Computer Services,,,,B2C,,Chronosphere Technologies Pvt Ltd. owns and operates a Website that provides online bookings for tour and travel services.,"['', '']",2015-01-01,"['Booking', 'Travel & Tourism']",,,,"['Seed', 'Seed']","['SUBBA RAO TELIDEVARA', 'VENK KRISHNAN']","['Angel', 'Angel']",['Online booking for travels and tours'],"['', '']","['', '']","[Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00')]","['', '']",,,,VCC,"['Internet marketplace and e-commerce', 'Consumer Products and Services']","['', '']",Angel investment,Karnataka,Bengaluru,['Rohan Ramdas Prabhu'],http://www.nomadly.in,13.094454,77.586014,Bengaluru
YNOS0416,CHYMERA VR,Technology,Software & Computer Services,,,,B2B,,Chymera VR provides a advertising and monetization network for mobile virtual reality.,,2015-01-01,['Software services for consumers'],,,,,[''],,['Virtual Reality platform'],,,"[Timestamp('2017-05-01 00:00:00'), '', '']","['', '', '']","[4.0, '', '']","['Angel investors', '', '']","['', '', '']",VI,['Software and Internet Services'],,Angel investment,,,"['SMEET BHATT', 'SUSHIL KUMAR']",http://www.chymeravr.com,,,San Francisco
YNOS0417,CIMPLYFIVE,Industrials,Industrial goods and services,,,,B2B,,CimplyFive helps companies be compliant with MCA requirements.,"['', '']",,"['Professional services', 'Business and Management consultancy']",,,,"['Seed Funding', 'Seed Funding']","['SURESH SENAPATY', 'UMANG KUMAR']","['Angel', 'Angel']","['Corporate governance', 'Compliance support services']","['', '']","['', '']","[Timestamp('2015-02-13 00:00:00'), Timestamp('2016-01-14 00:00:00')]","['', '']",,,,Deal Curry,['Industrial and Business Products and Services'],"['', '']",Angel investment,Karnataka,Bengaluru,[],,13.094454,77.586014,Bengaluru
YNOS0418,CINESTAAN ENTERTAINMENT,,,,,,,,,"[1979.1040870000002, 1979.1040870000002]",2013-01-01,[],,,,"['Seed', 'Seed']","['RADHAKISHAN DAMANI', 'RAKESH JHUNJHUNWALA']","['Angel', 'Angel']",[],"['', '']","[267.1950899, 267.1950899]","[Timestamp('2015-02-23 00:00:00'), Timestamp('2015-02-23 00:00:00')]","[534.3901798, 534.3901798]",,,,VCC,[],"['Series C or Higher', 'Series C or Higher']",,,,[],,,,
YNOS0421,CITY SYNAPSE INFORMATION,Technology,Software & Computer Services,,,,B2C,,City Synapse Information Pvt Ltd. operates an online property and apartment management platform for tenants and apartment owners. Its platform allows tenants to search and book apartments online.,,2015-01-01,"['Booking', 'Home Improvement Retailers']",,,,,[''],,['Online property and apartment management platform'],"['https://in.linkedin.com/in/atul-jalan-6b9210', 'https://in.linkedin.com/in/bharath-maguluri-7207a425', '', '']",,"[Timestamp('2015-06-10 00:00:00'), Timestamp('2015-06-10 00:00:00'), Timestamp('2015-06-10 00:00:00'), Timestamp('2015-06-10 00:00:00')]","[28.86861716, 28.86861716, 28.86861716, 28.86861716]",,,,VCC,"['Internet marketplace and e-commerce', 'Consumer Products and Services']","['Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed']",Angel investment,Karnataka,Bengaluru,['Kailash Rathi'],https://www.zenify.in,13.094454,77.586014,Bengaluru
YNOS0422,CITYFURNISH,Consumer Services,Retail,,,,B2C,,Cityfurnish brings online an eclectic mix of furniture and furnishing range at your doorstep. They gather bits and pieces from different eras to rent furniture and furnishing at affordable packages,[''],,['Online Rental'],,,,['Seed Funding'],['JITENDRA GUPTA'],['Angel'],"['Renting of furniture', 'Home renovation']",['https://in.linkedin.com/in/guptajiten'],[''],[Timestamp('2015-12-23 00:00:00')],[''],,,,TrakIn,['Internet marketplace and e-commerce'],[''],Angel investment,Haryana,Gurgaon,['Neerav Jain'],http://cityfurnish.com,28.457523,77.026344,Gurgaon
YNOS0423,CITYSHOR,Consumer Services,Retail,,,,B2C,,CityShor sifts through lots of places information food joints restaurants shopping hubs stores products and travel places in Ahmedabad.,,2012-01-01,['Local trip planners'],,,,,['GAIN NETWORK'],,['Software solutions'],,,"[Timestamp('2016-03-01 00:00:00'), '', '']","['', '', '']","['', '', '']","['Angel forums', '', '']","['', '', '']",VI,['Hyperlocal and Logistics'],,Angel investment,Gujarat,Ahmedabad,"['PALLAV PARIKH', 'PANKAJ PATHAK']",http://www.cityshor.com,23.00795,72.553757,Ahmedabad
YNOS0424,CIVILSDAILY,Consumer Services,Media,,,,B2C,,A platform that lets you understand news with context via crisp connected flashcards & rich infographic explainers.,,2015-01-01,['Media'],,,,,['MANOJ KUMAR'],,['News'],,,"[Timestamp('2016-03-01 00:00:00'), '', '']","['', '', '']","[1.0, '', '']","['Angel investors', '', '']","['', '', '']",VI,['Media Advertising and Gaming'],,Angel investment,New Delhi,New Delhi,[],,28.526592,77.290169,New Delhi
YNOS0431,CLEVERSHARKS,Technology,Software & Computer Services,,,,B2C,,"CleverSharks are smarter student community, equipped with correct resources and tools, where everyone takes an informed decision","['', '', '']",2014-01-01,['Online or other forms of student support'],,,,"['Seed', 'Seed', 'Seed']","['SUNIL KALRA', 'VIJAY TALREJA', 'VIKRAM CHACHRA']","['Angel', 'Angel', 'Angel']",['Educational services'],"['', '', '']","['', '', '']","[Timestamp('2015-02-01 00:00:00'), Timestamp('2015-02-01 00:00:00'), Timestamp('2015-02-01 00:00:00')]","[1.283049651, 1.283049651, 1.283049651]",,,,Deal Curry,['Edu-Tech'],"['Pre-Seed', 'Pre-Seed', 'Pre-Seed']",Angel investment,,,[],http://www.cleversharks.com,,,
YNOS0436,CLODURA SYSTEMS,Technology,Technology Hardware & Equipment,,,,B2B,,Clodura is an Automated platform which uses machine learning to find high value prospects which are more likely to close.,[''],2015-01-01,['Electronics'],,,,['Seed'],['AJAY DUBEY'],['Angel'],['Learning Prospects using Machines'],['https://www.facebook.com/public/Ajay-Dubey'],[''],[Timestamp('2016-03-31 00:00:00')],[''],,,,VCC,['Technology'],[''],Angel investment,Maharashtra,Pune,['SRIRAM KANNAN'],http://www.verayu.com/,18.50989,73.807182,Pune
YNOS0437,CLONECT,Technology,Software & Computer Services,,,,B2B,,Clonect is a dynamic IT solutions company focusing on niche products in the area of enterprise Governance.,,2014-01-01,['Enterprise Networking'],,,,,"['MOHANDAS PAI,OTHERS']",,['Software solutions'],,,"[Timestamp('2014-09-01 00:00:00'), '', '']","[1.6, '', '']","[2.0, '', '']","['Angel investors', '', '']","['', '', '']",VI,['Software and Internet Services'],,Angel investment,Karnataka,Bengaluru,[],,13.094454,77.586014,Bengaluru
YNOS0438,CLONECT SOLUTIONS,Technology,Software & Computer Services,,,,B2B,,"Clonect is a dynamic IT solutions company focusing on niche products in the area of enterprise Governance, Risk Management and Compliance Management (GRC) and software services.","['', '']",2014-01-01,"['IT Operations', 'Enterprise Software']",,,,"['Seed', 'Seed']","['MOHANDAS PAI', 'VENKATARAMAN BALAKRISHNAN']","['Angel', 'Angel']","['IT solution company', 'Helps organizations in leveraging technology']","['', '']","[7.323305542000001, 7.323305542000001]","[Timestamp('2014-09-19 00:00:00'), Timestamp('2014-09-19 00:00:00')]","[14.64661108, 14.64661108]",,,,VCC,['Software and Internet Services'],"['Pre-Seed', 'Pre-Seed']",Angel investment,Karnataka,Bengaluru,"['Shailesh Agarwal', 'Balaji Rao']",http://www.clonect.com,13.094454,77.586014,Bengaluru
YNOS0443,CLOUDACAR,Technology,Software & Computer Services,,,,B2C,,Cloudacar is a new social commute platform to build community of smart and responsible commuters for better tomorrow.,,2015-01-01,['Cloud Infrastructure'],,,,,"['SUMIT GOYAL,ANUJ PURI,AMIT CHOUDHARY']",,['Cloud based platform'],,,"[Timestamp('2016-03-01 00:00:00'), '', '']","['', '', '']","[3.0, '', '']","['Angel investors', '', '']","['', '', '']",VI,['Software and Internet Services'],,Angel investment,Maharashtra,Pune,[],http://cloudacar.org/,18.50989,73.807182,Pune
YNOS0444,CLOUDCHERRY,Technology,Software & Computer Services,,,,B2B,,CloudCherry collaborate with brands to help them win and deliver on something that's a little more than Consumer Satisfaction.,,2013-01-01,['Cloud Infrastructure'],,,,,"['CHENNAI ANGELS,OTHERS']",,['Cloud based platform for brand collaboration'],,,"[Timestamp('2015-05-01 00:00:00'), '', '']","[6.4, '', '']","['', '', '']","['Venture capital', '', '']","['', '', '']",VI,['Software and Internet Services'],,VC Funded,Tamil Nadu,Chennai,"['VINOD MUTHUKRISHNAN', 'SRIRAM SUBRAMANIAN']",http://www.getcloudcherry.com,12.981241,80.20945,Chennai
YNOS0445,CLOUDCHERRY ANALYTICS,,,,,,,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']",2013-01-01,[],,,,"['Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed']","['ABDUL QADIR ABDUL RAHMAN BUHARI', 'ARUNDATHI KRISHNA', 'CHANDRASEKAR KANDASAMY', 'CHANDU NAIR', 'GOPAL PALLIPURAM SRINIVASAN', 'LAKSHMI NARAYANAN', 'MAHALINGAM KRISHNAMURTHY', 'MANIKKAM SABARATNAM KUMARAN', 'PADMA CHANDRASEKARAN', 'RANJEETH RATHOD', 'SAMEER MEHTA', 'SANDHYA SUBRAMANYAM', 'SRIRAM SUBRAMANYA', 'SRIRAM VIJI']","['Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel']",[],"['https://in.linkedin.com/in/abdulqadirbuhari', 'http://www.thehindu.com/news/cities/chennai/funding-fairies/article6993469.ece', 'https://in.linkedin.com/in/chandrasekar-kandasamy-71526948', '', '', '', 'https://in.linkedin.com/in/mahalingam-krishnamurthy-0697904', 'http://amarjothi.net/invcont.pdf', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']","[Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00'), Timestamp('2015-05-11 00:00:00')]","[39.13301437, 39.13301437, 39.13301437, 39.13301437, 39.13301437, 39.13301437, 39.13301437, 39.13301437, 39.13301437, 39.13301437, 39.13301437, 39.13301437, 39.13301437, 39.13301437]",,,,VCC,[],"['Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed']",,,,"['VINOD MUTHUKRISHNAN', 'SRIRAM SUBRAMANIAN']",http://www.getcloudcherry.com,,,Singapore
YNOS0451,COCOBERRY RESTAURANTS AND DISTRIBUTORS,,,,,,,,,"['', '']",2010-01-01,[],,,,"['Series A', 'Series A']","['PRIYANKA PANDIT', 'RAHUL MAHINDER KUMAR KHANNA']","['Angel', 'Angel']",[],"['', '']","['', '']","[Timestamp('2014-01-09 00:00:00'), Timestamp('2014-01-09 00:00:00')]","[50.04258787, 50.04258787]",,,,VCC,[],"['Seed', 'Seed']",,,,[],http://www.cocoberry.co.in,,,
